1,helen,wasserman,talmalmo,4
2,maria,zettner,butte,7
3,art,miller,doncaster east,2
4,becky,castell,conroe,5
5,dorothy,wardle,logan village,7
6,monica,federle,providence,8
7,hermila,thyberg,providence,1
8,sally,hughsby,boston,4
9,liz,mackendrick,monroe township,3
10,theresa,coyne,paluma,3
11,alejandro,grove,bridgeport,7
12,maia,shadd,police point,9
13,lena,creighton,yelverton,10
14,bradley,drucker,philadelphia,2
15,jenna,caffey,niles,5
16,youlanda,schemmer,prineville,1
17,josephine,darakjy,brighton,10
18,fletcher,flosi,rockford,9
19,daniel,byrd,conroe,1
20,elbert,drawe,east newdegate,2
21,jennifer,patt,new york,9
22,katharine,harms,rouse hill,7
23,laurel,reitler,baltimore,9
24,deborah,brumfield,wardering,10
25,rasheeda,sayaphon,saratoga,4
26,rick,bensley,cape portland,10
27,paul,prost,boya,7
28,carlos,meador,round rock,8
29,cindy,chapman,stratton,5
30,chad,sievert,gardena,8
31,grant,donatelli,grovedale,1
32,anthony,rawles,allworth,8
33,tom,ashbrook,kennedale,4
34,ken,black,columbia,3
35,randy,bradley,king of prussia,2
36,sally,hughsby,paterson,1
37,sean,o'donnell,amphitheatre,10
38,eugene,hildebrand,nyamup,3
39,virgie,kiel,denver,4
40,patrick,jones,oroville,3
41,robert,dilbeck,pacifica,5
42,tina,clapham,bolivia,10
43,paul,prost,escondido,1
44,thomas,brumley,hungerford,4
45,eugene,hildebrand,sedan,1
46,erin,ashbrook,dallas,5
47,kristina,nunn,los angeles,5
48,david,flashing,cherry hill,1
49,frank,hawley,somerville,4
50,gwenn,suffield,deer park,5
51,sylvia,foulston,houma,3
52,brad,eason,south hobart,3
53,alan,hwang,syracuse,1
54,carlos,soltero,lafayette,2
55,lycoris,saunders,lilli pilli,2
56,tony,sayre,madison,5
57,peter,fuller,richmond,1
58,shui,tom,paulls valley,8
59,karen,carlisle,san leandro,2
60,becky,pak,salt lake city,5
61,adam,bellavance,turill,5
62,vernell,connley,montrose,3
63,emily,grady,cambridge,3
64,cynthia,delaney,randolph,9
65,pauline,chand,new bedford,5
66,malcom,fleckles,two rocks,4
67,larue,ocacio,mouroubra,9
68,john,lucas,mirrool,5
69,ken,dana,middle cove,7
70,tracy,hopkins,clovis,2
71,steve,carroll,scottsdale,8
72,nora,pelletier,orlando,1
73,julie,sakshaug,kensington park,2
74,dave,kipp,north haven,8
75,liz,price,red hill,5
76,jonathan,howell,deer park,2
77,marybeth,skach,round rock,3
78,lena,radford,proston,9
79,cindy,stewart,valley park,3
80,cari,macintyre,scottsdale,7
81,sibella,parks,allworth,3
82,lindsey,dilello,ontario,6
83,junita,stoltzman,carson city,9
84,jas,o'carroll,toledo,4
85,jennifer,patt,glen boughton,7
86,penelope,sewall,brighton,10
87,jason,klamczynski,weengallon,8
88,trudy,schmidt,wattle hill,7
89,tony,sayre,kearny,7
90,steven,cartwright,colorado springs,10
91,ritsa,hightower,philadelphia,2
92,julia,west,inkpen,2
93,andrew,allen,westerway,2
94,ken,dana,pacific paradise,4
95,christy,brittain,adelaide river,10
96,cyma,kinney,nashville,7
97,pauline,chand,taylor,8
98,tom,ashbrook,saint louis,9
99,juliana,krohn,buraminya,2
100,sung,shariari,rochester,4
101,leah,luchterhand,bunya mountains,10
102,harry,marie,bundaberg west,9
103,jasper,cacioppo,barmaryee,5
104,elizabeth,moffitt,gorrie,1
105,aaron,bergman,bridgeport,7
106,walton,yuki,lower cressbrook,9
107,amie,perigo,mesquite,3
108,berry,scandalis,shannon,10
109,steve,nguyen,glen burnie,8
110,liz,mackendrick,civic square,6
111,frank,hawley,dallas,6
112,anne,pryor,wagga wagga south,10
113,ken,lonsdale,upper kedron,1
114,patrick,jones,chicago,4
115,giulietta,weimer,kadina,4
116,tamara,willingham,macks creek,7
117,eileen,kiefer,new york,4
118,cyra,reiten,meridian,1
119,joseph,airdo,baltimore,4
120,sibella,parks,merrylands,10
121,ashley,jarboe,cavendish,1
122,alan,barnes,sedan,5
123,justin,knight,camarillo,2
124,tamara,manning,scottsdale,2
125,james,lanier,annandale,9
126,alan,barnes,escondido,1
127,bradley,nguyen,bridgewater,9
128,harold,engle,paterson,6
129,karen,carlisle,maylands,9
130,charisse,spinello,red hill,10
131,giulietta,weimer,hatfield,10
132,charles,crestani,kealy,9
133,arletta,naomi,port melbourne,9
134,helen,wasserman,summer hill,4
135,ken,heidel,canning vale,10
136,bobby,trafton,jersey city,5
137,frank,atkinson,san ramon,3
138,mick,crebagga,syracuse,2
139,yana,sorensen,canton,4
140,art,foster,baltimore,10
141,phillip,flathmann,fortville,8
142,christy,brittain,bangor,10
143,seth,vernon,lafayette,10
144,marylin,cornelison,sawtell,8
145,rob,haberlin,abilene,4
146,dan,campbell,mc lean,4
147,veronika,inouye,san jose,5
148,giulietta,weimer,nyora,7
149,max,engle,taylor,4
150,trudy,schmidt,abilene,8
151,lindsay,williams,baltimore,7
152,grant,carroll,cora lynn,4
153,jack,o'briant,brandon,3
154,michael,nguyen,trenton,8
155,mark,cousins,greenslopes,6
156,saphhira,shifley,ivanhoe east,1
157,ivan,liston,keilor downs,9
158,julia,dunbar,weetulta,5
159,jasper,cacioppo,inkpen,7
160,joseph,airdo,katonah,7
161,alan,hwang,riverton,5
162,alan,schoenberger,emerald beach,6
163,goldie,schirpke,bangor,6
164,jack,lebron,passaic,3
165,joesph,degonia,berkeley,10
166,suzanne,mcnair,woodbury,5
167,edward,becker,dartnall,8
168,frank,atkinson,denville,2
169,adam,shillingsburg,sydney south,7
170,lena,radford,simson,2
